"sample_name","organism","isolation_source","collection_date","geographic_location","latitude_and_longitude","sample_description"
"L313D","Pond metagenome","Pond","2015-06-16","Canada:Quebec","51.18194 N 63.92686 W","DNA"
"L314D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.17814 N 63.92364 W","DNA"
"L315D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18145 N 63.89828 W","DNA"
"L316D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18873 N 63.90278 W","DNA"
"L317D","Pond metagenome","Pond","2015-06-17","Canada:Quebec","51.18144 N 63.92325 W","DNA"
"L318D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.22601 N 63.91127 W","DNA"
"L319D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.21503 N 63.89979 W","DNA"
"L320D","Lake metagenome","Lake","2015-06-17","Canada:Quebec","50.21899 N 63.82191 W","DNA"
"LR01D","River metagenome","River","2015-06-07","Canada:Quebec","50.38165 N 63.26705 W","DNA"
"LR03D","River metagenome","River","2015-06-08","Canada:Quebec","50.6206 N 63.17048 W","DNA"
"LR05D","River metagenome","River","2015-06-09","Canada:Quebec","50.53663 N 63.22217 W","DNA"
"LR06D","River metagenome","River","2015-06-10","Canada:Quebec","50.31046 N 63.6461 W","DNA"
"LR09D","River metagenome","River","2015-06-11","Canada:Quebec","51.15182 N 63.39905 W","DNA"
"LR10D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.27356 N 63.77532 W","DNA"
"LR12D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.35785 N 64.00396 W","DNA"
"LR13D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.05514 N 63.69982 W","DNA"
"LR14D","Lake metagenome","Lake","2015-06-14","Canada:Quebec","52.09031 N 63.83427 W","DNA"
"LR15D","River metagenome","River","2015-06-15","Canada:Quebec","52.0642 N 63.84167 W","DNA"
"LR17D","River metagenome","River","2015-06-15","Canada:Quebec","51.78004 N 63.7155 W","DNA"
"LR18D","River metagenome","River","2015-06-16","Canada:Quebec","50.31445 N 63.54765 W","DNA"
"LR19D","River metagenome","River","2015-06-16","Canada:Quebec","51.70176 N 63.72171 W","DNA"
"LR20D","River metagenome","River","2015-06-16","Canada:Quebec","51.38239 N 63.5853 W","DNA"
"LRH04D","River metagenome","River","2015-06-12","Canada:Quebec","50.31684 N 63.30894 W","DNA"
"LRH07D","River metagenome","River","2015-06-12","Canada:Quebec","50.30083 N 63.81233 W","DNA"
"LRH08D","River metagenome","River","2015-06-12","Canada:Quebec","50.30064 N 63.81285 W","DNA"
"LRH09D","River metagenome","River","2015-06-12","Canada:Quebec","50.29303 N 63.811132 W","DNA"
"LRH10D","River metagenome","River","2015-06-12","Canada:Quebec","50.29588 N 63.804823 W","DNA"
"M01D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.28242 N 63.86163 W","DNA"
"M02D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.27224 N 63.85679 W","DNA"
"M03D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.2566 N 63.8327 W","DNA"
"M04D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.24688 N 63.78448 W","DNA"
"M05D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.24012 N 63.7585 W","DNA"
"M06D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.23954 N 63.72033 W","DNA"
"M07D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.21693 N 63.70586 W","DNA"
"M08D","Estuary metagenome","Estuary","2015-06-18","Canada:Quebec","50.18846 N 63.69431 W","DNA"
"PR01D","Stream metagenome","Stream","2015-06-07","Canada:Quebec","51.368157 N 63.876955 W","DNA"
"PR03D","Stream metagenome","Stream","2015-06-08","Canada:Quebec","51.21028 N 63.92063 W","DNA"
"PR05D","Stream metagenome","Stream","2015-06-13","Canada:Quebec","51.20287 N 63.92476 W","DNA"
"PR07D","Stream metagenome","Stream","2015-06-13","Canada:Quebec","51.1863 N 63.9319 W","DNA"
"PR09D","Stream metagenome","Stream","2015-06-14","Canada:Quebec","51.30254 N 63.87091 W","DNA"
"PR11D","Stream metagenome","Stream","2015-06-15","Canada:Quebec","51.3055 N 63.86446 W","DNA"
"RO201D","Reservoir metagenome","Reservoir","2015-06-10","Canada:Quebec","50.65452 N 63.26094 W","DNA"
"RO203D","Reservoir metagenome","Reservoir","2015-06-11","Canada:Quebec","50.85649 N 63.14495 W","DNA"
"RO205D","Reservoir metagenome","Reservoir","2015-06-13","Canada:Quebec","50.88609 N 63.22355 W","DNA"
"RO206D","Reservoir metagenome","Reservoir","2015-06-13","Canada:Quebec","51.05861 N 63.19688 W","DNA"
"RO207D","Reservoir metagenome","Reservoir","2015-06-13","Canada:Quebec","51.03348 N 63.29688 W","DNA"
"RO208D","Reservoir metagenome","Reservoir","2015-06-13","Canada:Quebec","51.0619 N 63.35868 W","DNA"
"RO209D","Reservoir metagenome","Reservoir","2015-06-13","Canada:Quebec","50.93158 N 63.35123 W","DNA"
"RO213D","Reservoir metagenome","Reservoir","2015-06-17","Canada:Quebec","50.965944 N 63.296111 W","DNA"
"SED315D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","51.18145 N 63.89828 W","DNA"
"SED316D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","51.18873 N 63.90278 W","DNA"
"SED317D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","51.18144 N 63.92325 W","DNA"
"SED318D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","50.22601 N 63.91127 W","DNA"
"SED319D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","50.21503 N 63.89979 W","DNA"
"SEDL313D","Sediment metagenome","Sediment","2015-06-16","Canada:Quebec","51.18194 N 63.92686 W","DNA"
"SEDL314D","Sediment metagenome","Sediment","2015-06-17","Canada:Quebec","51.17814 N 63.92364 W","DNA"
"SEDLR10D","Sediment metagenome","Sediment","2015-06-14","Canada:Quebec","52.27356 N 63.77532 W","DNA"
"SEDLR12D","Sediment metagenome","Sediment","2015-06-14","Canada:Quebec","52.35785 N 64.00396","DNA"
"SEDLR14D","Sediment metagenome","Sediment","2015-06-14","Canada:Quebec","52.09031 N 63.83427 W","DNA"
"SLR01D","Soil metagenome","Soil","2015-06-09","Canada:Quebec","50.55314 N 63.21136 W","DNA"
"SLR02D","Soil metagenome","Soil","2015-06-09","Canada:Quebec","50.43434 N 63.25355 W","DNA"
"SLR04D","Soil metagenome","Soil","2015-06-15","Canada:Quebec","50.3795 N 63.26425 W","DNA"
"SPR01D","Soil metagenome","Soil","2015-06-07","Canada:Quebec","51.368157 N 63.876955 W","DNA"
"SPR02D","Soil metagenome","Soil","2015-06-08","Canada:Quebec","51.21028 N 63.92063 W","DNA"
"SPR03D","Soil metagenome","Soil","2015-06-13","Canada:Quebec","51.20287 N 63.92476 W","DNA"
"SPR04D","Soil metagenome","Soil","2015-06-13","Canada:Quebec","51.1863 N 63.9319 W","DNA"
"SPR05D","Soil metagenome","Soil","2015-06-14","Canada:Quebec","51.303572 N 63.869197 W","DNA"
"SPR06D","Soil metagenome","Soil","2015-06-16","Canada:Quebec","51.30408 N 63.85239 W","DNA"
"SPR07D","Soil metagenome","Soil","2015-06-17","Canada:Quebec","51.17814 N 63.92364 W","DNA"
"SPR08D","Soil metagenome","Soil","2015-06-17","Canada:Quebec","51.18873 N 63.90278 W","DNA"
"SPR09D","Soil metagenome","Soil","2015-06-17","Canada:Quebec","51.18144 N 63.92325 W","DNA"
"SPR10D","Soil metagenome","Soil","2015-06-17","Canada:Quebec","50.22601 N 63.91127 W","DNA"
"SWLR01D","Soilwater metagenome","Soilwater","2015-06-09","Canada:Quebec","50.55314 N 63.21136 W","DNA"
"SWLR02D","Soilwater metagenome","Soilwater","2015-06-09","Canada:Quebec","50.43434 N 63.25355 W","DNA"
"SWLR03D","Soilwater metagenome","Soilwater","2015-06-09","Canada:Quebec","50.43434 N 63.25355 W","DNA"
"SWLR04D","Soilwater metagenome","Soilwater","2015-06-15","Canada:Quebec","50.3795 N 63.26425 W","DNA"
"SWPR01D","Soilwater metagenome","Soilwater","2015-06-07","Canada:Quebec","51.368157 N 63.876955 W","DNA"
"SWPR02D","Soilwater metagenome","Soilwater","2015-06-08","Canada:Quebec","51.21028 N 63.92063 W","DNA"
"SWPR03D","Soilwater metagenome","Soilwater","2015-06-13","Canada:Quebec","51.20287 N 63.92476 W","DNA"
"SWPR04D","Soilwater metagenome","Soilwater","2015-06-13","Canada:Quebec","51.1863 N 63.9319 W","DNA"
"SWPR05D","Soilwater metagenome","Soilwater","2015-06-14","Canada:Quebec","51.303572 N 63.869197 W","DNA"
"SWPR06D","Soilwater metagenome","Soilwater","2015-06-16","Canada:Quebec","51.30408 N 63.85239 W","DNA"
"SWPR07D","Soilwater metagenome","Soilwater","2015-06-17","Canada:Quebec","51.17814 N 63.92364 W","DNA"
"SWPR08D","Soilwater metagenome","Soilwater","2015-06-17","Canada:Quebec","51.18873 N 63.90278 W","DNA"
"SWPR09D","Soilwater metagenome","Soilwater","2015-06-17","Canada:Quebec","51.18144 N 63.92325 W","DNA"
"SWPR10D","Soilwater metagenome","Soilwater","2015-06-17","Canada:Quebec","50.22601 N 63.91127 W","DNA"
"WELL1D","Wellwater metagenome","Wellwater","2015-06-18","Canada:Quebec","50.58879 N 63.18764 W","DNA"
"WELL2D","Wellwater metagenome","Wellwater","2015-06-18","Canada:Quebec","50.62034 N 63.1893 W","DNA"
"WELL3D","Wellwater metagenome","Wellwater","2015-06-18","Canada:Quebec","50.37795 N 63.26105 W","DNA"
"WELL4D","Wellwater metagenome","Wellwater","2015-06-18","Canada:Quebec","50.38432 N 63.25247 W","DNA"
"LR24D","River metagenome","River","2015-08-01","Canada:Quebec","50.37971 N 63.26574 W","DNA"
"LR27D","River metagenome","River","2015-08-02","Canada:Quebec","50.30883 N 63.62249 W","DNA"
"LR29D","River metagenome","River","2015-08-03","Canada:Quebec","50.62703 N 63.18789 W","DNA"
"LRH11D","River metagenome","River","2015-08-01","Canada:Quebec","50.31672 N 63.3089 W","DNA"
"LRH14D","River metagenome","River","2015-08-01","Canada:Quebec","50.30009 N 63.8122 W","DNA"
"LRH15D","River metagenome","River","2015-08-01","Canada:Quebec","50.30076 N 63.81276 W","DNA"
"L349D","Lake metagenome","Lake","2017-10-07","Canada:Quebec","50.98998 N 63.21911 W","DNA"
"LR128D","River metagenome","River","2017-10-04","Canada:Quebec","51.90361 N 63.81292 W","DNA"
"LR131D","River metagenome","River","2017-10-04","Canada:Quebec","51.37579 N 63.572 W","DNA"
"LR134D","Lake metagenome","Lake","2017-10-05","Canada:Quebec","52.08962 N 63.84148 W","DNA"
"LR137D","River metagenome","River","2017-10-06","Canada:Quebec","50.31519 N 63.7739 W","DNA"
"LR138D","River metagenome","River","2017-10-07","Canada:Quebec","50.32291 N 63.36678 W","DNA"
"LR139D","River metagenome","River","2017-10-07","Canada:Quebec","50.32779 N 63.2865 W","DNA"
"LR140D","River metagenome","River","2017-10-07","Canada:Quebec","50.3826 N 63.26749 W","DNA"
"LR142D","River metagenome","River","2017-10-10","Canada:Quebec","50.30284 N 63.59752 W","DNA"
"RO149D","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","50.6269 N 63.18731 W","DNA"
"RO151D","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","50.4634 N 63.23511 W","DNA"
"RO152D","Reservoir metagenome","Reservoir","2017-10-08","Canada:Quebec","50.39031 N 63.24513 W","DNA"
"RO152HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-08","Canada:Quebec","50.39031 N 63.24513 W","DNA"
"RO154D","Reservoir metagenome","Reservoir","2017-10-08","Canada:Quebec","50.4296 N 63.21942 W","DNA"
"RO156D","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.45174 N 63.23296 W","DNA"
"RO157D","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.44228 N 63.22325 W","DNA"
"RO159D","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.4591 N 63.22037 W","DNA"
"RO2117D","Reservoir metagenome","Reservoir","2017-10-04","Canada:Quebec","50.85482 N 63.14435 W","DNA"
"RO2118D","Reservoir metagenome","Reservoir","2017-10-04","Canada:Quebec","50.84089 N 63.18458 W","DNA"
"RO2119D","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","51.08891 N 63.39541 W","DNA"
"RO2120D","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","50.73878 N 63.2341 W","DNA"
"RO2122D","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","50.71616 N 63.25925 W","DNA"
"RO2124D","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.65741 N 63.26254 W","DNA"
"RO2124HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.65741 N 63.26254 W","DNA"
"RO21269mD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","DNA"
"RO2126D","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","DNA"
"RO2126HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","DNA"
"RO2132D","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.90195 N 63.25593 W","DNA"
"RO312D","Reservoir metagenome","Reservoir","2017-10-06","Canada:Quebec","51.32493 N 63.46063 W","DNA"
"RO316D","Reservoir metagenome","Reservoir","2017-10-06","Canada:Quebec","51.26332 N 63.3294 W","DNA"
"RO317D","Reservoir metagenome","Reservoir","2017-10-07","Canada:Quebec","51.14686 N 63.40013 W","DNA"
"RO318D","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","51.143162 N 63.40057 W","DNA"
"RO318HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-09","Canada:Quebec","51.143681 N 63.39917 W","DNA"
"TR57D","Tributary metagenome","Tributary","2017-10-06","Canada:Quebec","50.31023 N 63.66136 W","DNA"
"LR113D","Lake metagenome","Lake","2017-08-09","Canada:Quebec","52.3521241188954 N 63.9812450963776 W","DNA"
"LR116D","River metagenome","River","2017-08-09","Canada:Quebec","52.0589174319258 N 63.8435444580924 W","DNA"
"LR120D","River metagenome","River","2017-08-12","Canada:Quebec","51.3763394609061 N 63.5729518730552 W","DNA"
"LR121D","River metagenome","River","2017-08-17","Canada:Quebec","50.3041661760171 N 63.5958847693471 W","DNA"
"LR122D","River metagenome","River","2017-08-17","Canada:Quebec","50.3156978904738 N 63.4630805649971 W","DNA"
"LR123D","River metagenome","River","2017-08-18","Canada:Quebec","50.3245 N 63.36677 W","DNA"
"LR125D","River metagenome","River","2017-08-18","Canada:Quebec","50.38229 N 63.26742 W","DNA"
"LR126D","River metagenome","River","2017-08-18","Canada:Quebec","50.31345 N 63.77851 W","DNA"
"LR127D","River metagenome","River","2017-08-18","Canada:Quebec","50.3097 N 63.62239 W","DNA"
"RO136D","Reservoir metagenome","Reservoir","2017-08-09","Canada:Quebec","50.46383 N 63.2183 W","DNA"
"RO138D","Reservoir metagenome","Reservoir","2017-08-09","Canada:Quebec","50.46229 N 63.23435 W","DNA"
"RO139D","Reservoir metagenome","Reservoir","2017-08-10","Canada:Quebec","50.6268 N 63.18727 W","DNA"
"RO141D","Reservoir metagenome","Reservoir","2017-08-14","Canada:Quebec","50.46284 N 63.23442 W","DNA"
"RO142D","Reservoir metagenome","Reservoir","2017-08-14","Canada:Quebec","50.45214 N 63.23266 W","DNA"
"RO143D","Reservoir metagenome","Reservoir","2017-08-14","Canada:Quebec","50.44199 N 63.22303 W","DNA"
"RO145D","Reservoir metagenome","Reservoir","2017-08-17","Canada:Quebec","50.38969 N 63.24699 W","DNA"
"RO145HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-08-17","Canada:Quebec","50.38969 N 63.24699 W","DNA"
"RO147D","Reservoir metagenome","Reservoir","2017-08-17","Canada:Quebec","50.42952 N 63.21965 W","DNA"
"RO2100D","Reservoir metagenome","Reservoir","2017-08-12","Canada:Quebec","50.75975 N 63.21184 W","DNA"
"RO2102D","Reservoir metagenome","Reservoir","2017-08-14","Canada:Quebec","50.9921498694019 N 63.3060437297463 W","DNA"
"RO2104D","Reservoir metagenome","Reservoir","2017-08-14","Canada:Quebec","51.0889757822202 N 63.3955844942646 W","DNA"
"RO2108D","Reservoir metagenome","Reservoir","2017-08-15","Canada:Quebec","50.8987372446898 N 63.2472313117024 W","DNA"
"RO2110D","Reservoir metagenome","Reservoir","2017-08-15","Canada:Quebec","50.8226619704731 N 63.1927175778933 W","DNA"
"RO211140mD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-08-15","Canada:Quebec","50.6568 N 63.26298 W","DNA"
"RO211160mD","Reservoir metagenome","Reservoir","2017-08-15","Canada:Quebec","50.6568 N 63.26298 W","DNA"
"RO2111D","Reservoir metagenome","Reservoir","2017-08-15","Canada:Quebec","50.6568 N 63.26298 W","DNA"
"RO2113D","Reservoir metagenome","Reservoir","2017-08-15","Canada:Quebec","50.7168841284306 N 63.2590529538016 W","DNA"
"RO297D","Reservoir metagenome","Reservoir","2017-08-11","Canada:Quebec","50.82479 N 63.17999 W","DNA"
"RO2987mD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-08-11","Canada:Quebec","50.80039 N 63.20394 W","DNA"
"RO298D","Reservoir metagenome","Reservoir","2017-08-11","Canada:Quebec","50.80039 N 63.20394 W","DNA"
"RO31D","Reservoir metagenome","Reservoir","2017-08-10","Canada:Quebec","51.3118994887173 N 63.4259373158468 W","DNA"
"RO31HypoD","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-08-10","Canada:Quebec","51.3118994887173 N 63.4259373158468 W","DNA"
"RO34D","Reservoir metagenome","Reservoir","2017-08-10","Canada:Quebec","51.1896697037461 N 63.3588511506079 W","DNA"
"RO37D","Reservoir metagenome","Reservoir","2017-08-11","Canada:Quebec","51.2830197766487 N 63.3743239739394 W","DNA"
"TR56D","Tributary metagenome","Tributary","2017-08-18","Canada:Quebec","50.31016 N 63.66162 W","DNA"
"LR17blankc2D","Blank metagenome","Blank","2017-08-18","Canada:Quebec","50.252049 N 63.604029 W","DNA"
"L349R","Lake metagenome","Lake","2017-10-07","Canada:Quebec","50.98998 N 63.21911 W","cDNA"
"LR128R","River metagenome","River","2017-10-04","Canada:Quebec","51.90361 N 63.81292 W","cDNA"
"LR131R","River metagenome","River","2017-10-04","Canada:Quebec","51.37579 N 63.572 W","cDNA"
"LR134R","Lake metagenome","Lake","2017-10-05","Canada:Quebec","52.08962 N 63.84148 W","cDNA"
"LR137R","River metagenome","River","2017-10-06","Canada:Quebec","50.31519 N 63.7739 W","cDNA"
"LR138R","River metagenome","River","2017-10-07","Canada:Quebec","50.32291 N 63.36678 W","cDNA"
"LR139R","River metagenome","River","2017-10-07","Canada:Quebec","50.32779 N 63.2865 W","cDNA"
"LR140R","River metagenome","River","2017-10-07","Canada:Quebec","50.3826 N 63.26749 W","cDNA"
"LR142R","River metagenome","River","2017-10-10","Canada:Quebec","50.30284 N 63.59752 W","cDNA"
"RO149R","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","50.6269 N 63.18731 W","cDNA"
"RO151R","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","50.4634 N 63.23511 W","cDNA"
"RO152HypoR","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-08","Canada:Quebec","50.39031 N 63.24513 W","cDNA"
"RO152R","Reservoir metagenome","Reservoir","2017-10-08","Canada:Quebec","50.39031 N 63.24513 W","cDNA"
"RO154R","Reservoir metagenome","Reservoir","2017-10-08","Canada:Quebec","50.4296 N 63.21942 W","cDNA"
"RO156R","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.45174 N 63.23296 W","cDNA"
"RO157R","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.44228 N 63.22325 W","cDNA"
"RO159R","Reservoir metagenome","Reservoir","2017-10-12","Canada:Quebec","50.4591 N 63.22037 W","cDNA"
"RO2117R","Reservoir metagenome","Reservoir","2017-10-04","Canada:Quebec","50.85482 N 63.14435 W","cDNA"
"RO2118R","Reservoir metagenome","Reservoir","2017-10-04","Canada:Quebec","50.84089 N 63.18458 W","cDNA"
"RO2119R","Reservoir metagenome","Reservoir","2017-10-05","Canada:Quebec","51.08891 N 63.39541 W","cDNA"
"RO2120R","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","50.73878 N 63.2341 W","cDNA"
"RO2122R","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","50.71616 N 63.25925 W","cDNA"
"RO2124HypoR","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.65741 N 63.26254 W","cDNA"
"RO2124R","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.65741 N 63.26254 W","cDNA"
"RO21269mR","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","cDNA"
"RO2126HypoR","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","cDNA"
"RO2126R","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.80048 N 63.20448 W","cDNA"
"RO2132R","Reservoir metagenome","Reservoir","2017-10-10","Canada:Quebec","50.90195 N 63.25593 W","cDNA"
"RO312R","Reservoir metagenome","Reservoir","2017-10-06","Canada:Quebec","51.32493 N 63.46063 W","cDNA"
"RO316R","Reservoir metagenome","Reservoir","2017-10-06","Canada:Quebec","51.26332 N 63.3294 W","cDNA"
"RO317R","Reservoir metagenome","Reservoir","2017-10-07","Canada:Quebec","51.14686 N 63.40013 W","cDNA"
"RO318HypoR","Reservoir_Hypolimnion metagenome","Reservoir_Hypolimnion","2017-10-09","Canada:Quebec","51.143681 N 63.39917 W","cDNA"
"RO318R","Reservoir metagenome","Reservoir","2017-10-09","Canada:Quebec","51.143162 N 63.40057 W","cDNA"
"TR57R","Tributary metagenome","Tributary","2017-10-06","Canada:Quebec","50.31023 N 63.66136 W","cDNA"
