"sample_name","organism","isolation_source","collection_date","geographic_location","latitude_and_longitude","sample_description"
"RO250D","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.05091 N 63.19594 W","DNA"
"RO251D","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.01549 N 63.25632 W","DNA"
"RO252D","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.94286 N 63.34372 W","DNA"
"RO253D","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.95873 N 63.30883 W","DNA"
"RO255D","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.8422 N 63.18331 W","DNA"
"RO256D","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.7984 N 63.20644 W","DNA"
"RO257D","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.75955 N 63.2112 W","DNA"
"RO261D","Reservoir metagenome","Reservoir","2016-08-13","Canada:Quebec","50.6547 N 63.26506 W","DNA"
"SW34D","Soilwater metagenome","Soilwater","2016-08-05","Canada:Quebec","51.36654 N 63.87719 W","DNA"
"SW35D","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.21284 N 63.92261 W","DNA"
"SW36D","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.2095 N 63.92092 W","DNA"
"SW37D","Soilwater metagenome","Soilwater","2016-08-07","Canada:Quebec","51.20212 N 63.9233 W","DNA"
"SW39D","Soilwater metagenome","Soilwater","2016-08-07","Canada:Quebec","51.18631 N 63.93174 W","DNA"
"SW40D","Soilwater metagenome","Soilwater","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","DNA"
"SW42D","Soilwater metagenome","Soilwater","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","DNA"
"SW43D","Soilwater metagenome","Soilwater","2016-08-11","Canada:Quebec","51.30408 N 63.85194 W","DNA"
"HW24R","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","cDNA"
"HW25R","Hyporheicwater metagenome","Hyporheicwater","2016-06-10","Canada:Quebec","51.20954 N 63.42093 W","cDNA"
"HW26R","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36657 N 63.87721 W","cDNA"
"HW27R","Hyporheicwater metagenome","Hyporheicwater","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","cDNA"
"HW28R","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","cDNA"
"HW30R","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","cDNA"
"L3281R","Lake metagenome","Lake","2016-06-12","Canada:Quebec","50.57727 N 63.46136 W","cDNA"
"L3282R","Lake metagenome","Lake","2016-06-12","Canada:Quebec","50.46541 N 63.57906 W","cDNA"
"L3291R","Lake metagenome","Lake","2016-06-12","Canada:Quebec","50.5621 N 63.30718 W","cDNA"
"L3292R","Lake metagenome","Lake","2016-06-12","Canada:Quebec","50.47179 N 63.42405 W","cDNA"
"LR49R","Lake metagenome","Lake","2016-06-02","Canada:Quebec","52.35835 N 63.9938 W","cDNA"
"LR50R","Lake metagenome","Lake","2016-06-02","Canada:Quebec","52.12788 N 63.70666 W","cDNA"
"LR51R","Lake metagenome","Lake","2016-06-02","Canada:Quebec","52.05113 N 63.70082 W","cDNA"
"LR53R","River metagenome","River","2016-06-03","Canada:Quebec","52.05905 N 63.84372 W","cDNA"
"LR54R","River metagenome","River","2016-06-03","Canada:Quebec","51.97409 N 63.77726 W","cDNA"
"LR56R","River metagenome","River","2016-06-05","Canada:Quebec","51.70283 N 63.71917 W","cDNA"
"LR58R","River metagenome","River","2016-06-09","Canada:Quebec","50.32945 N 63.29131 W","cDNA"
"LR60R","River metagenome","River","2016-06-09","Canada:Quebec","50.30492 N 63.58691 W","cDNA"
"LR61R","River metagenome","River","2016-06-09","Canada:Quebec","50.31145 N 63.48157 W","cDNA"
"LR62R","River metagenome","River","2016-06-09","Canada:Quebec","50.317449 N 63.31067 W","cDNA"
"LR63R","River metagenome","River","2016-06-11","Canada:Quebec","51.38269 N 63.58594 W","cDNA"
"LR64R","River metagenome","River","2016-06-11","Canada:Quebec","51.30358 N 63.39372 W","cDNA"
"LR65R","River metagenome","River","2016-06-11","Canada:Quebec","51.27259 N 63.35046 W","cDNA"
"LR66R","River metagenome","River","2016-06-12","Canada:Quebec","51.18214 N 63.36409 W","cDNA"
"PR24R","Stream metagenome","Stream","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","cDNA"
"PR25R","Stream metagenome","Stream","2016-06-10","Canada:Quebec","51.20954 N 63.92093 W","cDNA"
"PR26R","Stream metagenome","Stream","2016-06-11","Canada:Quebec","51.36657 N 63.87721 W","cDNA"
"PR27R","Stream metagenome","Stream","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","cDNA"
"PR28R","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","cDNA"
"PR29R","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.2029 N 63.92485 W","cDNA"
"PR30R","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","cDNA"
"PR32R","Stream metagenome","Stream","2016-06-13","Canada:Quebec","51.30254 N 63.87091 W","cDNA"
"RO101R","Reservoir metagenome","Reservoir","2016-06-05","Canada:Quebec","50.63185 N 63.16687 W","cDNA"
"RO102R","Reservoir metagenome","Reservoir","2016-06-05","Canada:Quebec","50.62154 N 63.17035 W","cDNA"
"RO103R","Reservoir metagenome","Reservoir","2016-06-05","Canada:Quebec","50.54065 N 63.22003 W","cDNA"
"RO104R","Reservoir metagenome","Reservoir","2016-06-06","Canada:Quebec","50.46759 N 63.24461 W","cDNA"
"RO105R","Reservoir metagenome","Reservoir","2016-06-06","Canada:Quebec","50.4438 N 63.2303 W","cDNA"
"RO230DPR","Reservoir metagenome","Reservoir","2016-06-01","Canada:Quebec","50.67471 N 63.24033 W","cDNA"
"RO231R","Reservoir metagenome","Reservoir","2016-06-01","Canada:Quebec","50.66413 N 63.26339 W","cDNA"
"RO233R","Reservoir metagenome","Reservoir","2016-06-02","Canada:Quebec","50.85346 N 63.14424 W","cDNA"
"RO234R","Reservoir metagenome","Reservoir","2016-06-03","Canada:Quebec","50.84412 N 63.18341 W","cDNA"
"RO236pR","Reservoir metagenome","Reservoir","2016-06-04","Canada:Quebec","50.65737 N 63.2671 W","cDNA"
"RO238R","Reservoir metagenome","Reservoir","2016-06-04","Canada:Quebec","50.72093 N 63.26571 W","cDNA"
"RO240R","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.08335 N 63.38289 W","cDNA"
"RO241R","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.0348 N 63.29682 W","cDNA"
"RO242R","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.05873 N 63.19751 W","cDNA"
"RO243R","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.03102 N 63.39302 W","cDNA"
"RO245R","Reservoir metagenome","Reservoir","2016-06-12","Canada:Quebec","50.94175 N 63.34061 W","cDNA"
"SW24R","Soilwater metagenome","Soilwater","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","cDNA"
"SW26R","Soilwater metagenome","Soilwater","2016-06-11","Canada:Quebec","51.36657 N 63.87721 W","cDNA"
"SW27R","Soilwater metagenome","Soilwater","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","cDNA"
"SW28R","Soilwater metagenome","Soilwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","cDNA"
"SW30R","Soilwater metagenome","Soilwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","cDNA"
"HW28D","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","DNA"
"HW30D","Hyporheicwater metagenome","Hyporheicwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","DNA"
"HW31D","Hyporheicwater metagenome","Hyporheicwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","DNA"
"L3281D","Lake metagenome","Lake","2016-06-12","Canada:Quebec","50.57727 N 63.46136 W","DNA"
"LR49D","Lake metagenome","Lake","2016-06-02","Canada:Quebec","52.35835 N 63.9938 W","DNA"
"LR50D","Lake metagenome","Lake","2016-06-02","Canada:Quebec","52.12788 N 63.70666 W","DNA"
"LR52D","Lake metagenome","Lake","2016-06-03","Canada:Quebec","52.0863 N 63.83093 W","DNA"
"LR53D","River metagenome","River","2016-06-03","Canada:Quebec","52.05905 N 63.84372 W","DNA"
"LR54D","River metagenome","River","2016-06-03","Canada:Quebec","51.97409 N 63.77726 W","DNA"
"LR56D","River metagenome","River","2016-06-05","Canada:Quebec","51.70283 N 63.71917 W","DNA"
"LR57D","River metagenome","River","2016-06-09","Canada:Quebec","50.38105 N 63.26677 W","DNA"
"LR58D","River metagenome","River","2016-06-09","Canada:Quebec","50.32945 N 63.29131 W","DNA"
"LR59D","River metagenome","River","2016-06-09","Canada:Quebec","50.32291 N 63.36477 W","DNA"
"LR61D","River metagenome","River","2016-06-09","Canada:Quebec","50.31145 N 63.48157 W","DNA"
"LR62D","River metagenome","River","2016-06-09","Canada:Quebec","50.317449 N 63.31067 W","DNA"
"LR67D","River metagenome","River","2016-06-14","Canada:Quebec","50.3096 N 63.6232 W","DNA"
"PR24D","Stream metagenome","Stream","2016-06-10","Canada:Quebec","51.21285 N 63.92264 W","DNA"
"PR29D","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.2029 N 63.92485 W","DNA"
"PR29D","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.2029 N 63.92485 W","DNA"
"PR30D","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","DNA"
"PR30D","Stream metagenome","Stream","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","DNA"
"PR31D","Stream metagenome","Stream","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","DNA"
"PR31D","Stream metagenome","Stream","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","DNA"
"RO103D","Reservoir metagenome","Reservoir","2016-06-05","Canada:Quebec","50.54065 N 63.22003 W","DNA"
"RO104D","Reservoir metagenome","Reservoir","2016-06-06","Canada:Quebec","50.46759 N 63.24461 W","DNA"
"RO106D","Reservoir metagenome","Reservoir","2016-06-15","Canada:Quebec","50.42649 N 63.22844 W","DNA"
"RO106D","Reservoir metagenome","Reservoir","2016-06-15","Canada:Quebec","50.42649 N 63.22844 W","DNA"
"RO231D","Reservoir metagenome","Reservoir","2016-06-01","Canada:Quebec","50.66413 N 63.26339 W","DNA"
"RO232D","Reservoir metagenome","Reservoir","2016-06-02","Canada:Quebec","50.8887 N 63.22811 W","DNA"
"RO233D","Reservoir metagenome","Reservoir","2016-06-02","Canada:Quebec","50.85346 N 63.14424 W","DNA"
"RO236pD","Reservoir metagenome","Reservoir","2016-06-04","Canada:Quebec","50.65737 N 63.2671 W","DNA"
"RO237D","Reservoir metagenome","Reservoir","2016-06-04","Canada:Quebec","50.74194 N 63.23214 W","DNA"
"RO241D","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.0348 N 63.29682 W","DNA"
"RO242D","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.05873 N 63.19751 W","DNA"
"RO243D","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","51.03102 N 63.39302 W","DNA"
"RO244D","Reservoir metagenome","Reservoir","2016-06-10","Canada:Quebec","50.96748 N 63.2967 W","DNA"
"RO245D","Reservoir metagenome","Reservoir","2016-06-12","Canada:Quebec","50.94175 N 63.34061 W","DNA"
"SW27D","Soilwater metagenome","Soilwater","2016-06-11","Canada:Quebec","51.36616 N 63.87573 W","DNA"
"SW28D","Soilwater metagenome","Soilwater","2016-06-12","Canada:Quebec","51.20215 N 63.92329 W","DNA"
"SW30D","Soilwater metagenome","Soilwater","2016-06-12","Canada:Quebec","51.18623 N 63.93188 W","DNA"
"SW31D","Soilwater metagenome","Soilwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","DNA"
"T48D","Tributary metagenome","Tributary","2016-06-14","Canada:Quebec","50.32102 N 63.720285 W","DNA"
"TR49D","Tributary metagenome","Tributary","2016-06-15","Canada:Quebec","50.42892 N 63.21438 W","DNA"
"TR49D","Tributary metagenome","Tributary","2016-06-15","Canada:Quebec","50.42892 N 63.21438 W","DNA"
"RO101D","Reservoir metagenome","Reservoir","2016-06-05","Canada:Quebec","50.63185 N 63.16687 W","DNA"
"T47D","Tributary metagenome","Tributary","2016-06-14","Canada:Quebec","50.3108 N 63.66121 W","DNA"
"HW31R","Hyporheicwater metagenome","Hyporheicwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","cDNA"
"HW32R","Hyporheicwater metagenome","Hyporheicwater","2016-06-13","Canada:Quebec","51.30254 N 63.87091 W","cDNA"
"L230R","Lake metagenome","Lake","2016-06-13","Canada:Quebec","51.18157 N 63.92587 W","cDNA"
"LR59R","River metagenome","River","2016-06-09","Canada:Quebec","50.32291 N 63.36477 W","cDNA"
"LR67R","River metagenome","River","2016-06-14","Canada:Quebec","50.3096 N 63.6232 W","cDNA"
"LR68R","River metagenome","River","2016-06-14","Canada:Quebec","50.31653 N 63.76784 W","cDNA"
"PR31R","Stream metagenome","Stream","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","cDNA"
"RO106R","Reservoir metagenome","Reservoir","2016-06-15","Canada:Quebec","50.42649 N 63.22844 W","cDNA"
"RO232R","Reservoir metagenome","Reservoir","2016-06-02","Canada:Quebec","50.8887 N 63.22811 W","cDNA"
"RO235R","Reservoir metagenome","Reservoir","2016-06-03","Canada:Quebec","50.79803 N 63.2 W","cDNA"
"RO237R","Reservoir metagenome","Reservoir","2016-06-04","Canada:Quebec","50.74194 N 63.23214 W","cDNA"
"S33R","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36618 N 63.87583 W","cDNA"
"S33D","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36618 N 63.87583 W","DNA"
"SW31R","Soilwater metagenome","Soilwater","2016-06-15","Canada:Quebec","51.30344 N 63.86294 W","cDNA"
"T47R","Tributary metagenome","Tributary","2016-06-14","Canada:Quebec","50.3108 N 63.66121 W","cDNA"
"T48R","Tributary metagenome","Tributary","2016-06-14","Canada:Quebec","50.32102 N 63.720285 W","cDNA"
"TR49R","Tributary metagenome","Tributary","2016-06-15","Canada:Quebec","50.42892 N 63.21438 W","cDNA"
"HW34R","Hyporheicwater metagenome","Hyporheicwater","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"HW35R","Hyporheicwater metagenome","Hyporheicwater","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"HW36R","Hyporheicwater metagenome","Hyporheicwater","2016-08-05","Canada:Quebec","51.2095 N 63.92092 W","cDNA"
"HW37R","Hyporheicwater metagenome","Hyporheicwater","2016-08-07","Canada:Quebec","51.20212 N 63.9233 W","cDNA"
"HW40R","Hyporheicwater metagenome","Hyporheicwater","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","cDNA"
"HW42R","Hyporheicwater metagenome","Hyporheicwater","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","cDNA"
"L330CM1R","Sediment metagenome","Sediment","2016-06-13","Canada:Quebec","51.18157 N 63.92587 W","cDNA"
"L330CM2R","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18157 N 63.92587 W","cDNA"
"L330R","Lake metagenome","Lake","2016-08-05","Canada:Quebec","51.18157 N 63.92587 W","cDNA"
"L331R","Lake metagenome","Lake","2016-08-05","Canada:Quebec","51.18164 N 63.92405 W","cDNA"
"L331SR","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18164 N 63.92405 W","cDNA"
"L332R","Lake metagenome","Lake","2016-08-11","Canada:Quebec","51.18935 N 63.90314 W","cDNA"
"L332SR","Sediment metagenome","Sediment","2016-08-11","Canada:Quebec","51.18935 N 63.90314 W","cDNA"
"L333R","Lake metagenome","Lake","2016-08-11","Canada:Quebec","51.18164 N 63.89855 W","cDNA"
"L334R","Lake metagenome","Lake","2016-08-11","Canada:Quebec","51.19883 N 63.90014 W","cDNA"
"LR69R","River metagenome","River","2016-08-06","Canada:Quebec","50.32419 N 63.36647 W","cDNA"
"LR71R","River metagenome","River","2016-08-06","Canada:Quebec","50.38126 N 63.26665 W","cDNA"
"LR72R","Lake metagenome","Lake","2016-08-09","Canada:Quebec","52.35541 N 63.99129 W","cDNA"
"LR73R","Lake metagenome","Lake","2016-08-11","Canada:Quebec","52.087 N 63.83802 W","cDNA"
"LR74R","Lake metagenome","Lake","2016-08-11","Canada:Quebec","52.05544 N 63.68134 W","cDNA"
"LR75R","River metagenome","River","2016-08-11","Canada:Quebec","50.36592 N 63.58032 W","cDNA"
"LR80R","River metagenome","River","2016-08-14","Canada:Quebec","51.65284 N 63.71143 W","cDNA"
"M17R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.28684 N 63.84786 W","cDNA"
"M18R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.28551 N 63.85236 W","cDNA"
"M19R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.26292 N 63.85185 W","cDNA"
"M20R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.2596 N 63.84907 W","cDNA"
"PR34R","Stream metagenome","Stream","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"PR35R","Stream metagenome","Stream","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"PR36R","Stream metagenome","Stream","2016-08-05","Canada:Quebec","51.2095 N 63.92092 W","cDNA"
"PR37R","Stream metagenome","Stream","2016-08-07","Canada:Quebec","51.20212 N 63.9233 W","cDNA"
"PR38R","Stream metagenome","Stream","2016-08-07","Canada:Quebec","51.20287 N 63.92476 W","cDNA"
"PR40R","Stream metagenome","Stream","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","cDNA"
"PR41R","Stream metagenome","Stream","2016-08-09","Canada:Quebec","51.30254 N 63.87091 W","cDNA"
"PR42R","Stream metagenome","Stream","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","cDNA"
"PR43R","Stream metagenome","Stream","2016-08-10","Canada:Quebec","51.30408 N 63.85194 W","cDNA"
"RO107R","Reservoir metagenome","Reservoir","2016-08-02","Canada:Quebec","50.46215 N 63.22967 W","cDNA"
"RO108R","Reservoir metagenome","Reservoir","2016-08-04","Canada:Quebec","50.62074 N 63.16989 W","cDNA"
"RO109R","Reservoir metagenome","Reservoir","2016-08-04","Canada:Quebec","50.45219 N 63.23246 W","cDNA"
"RO112R","Reservoir metagenome","Reservoir","2016-08-15","Canada:Quebec","50.43068 N 63.21952 W","cDNA"
"RO246R","Reservoir metagenome","Reservoir","2016-08-05","Canada:Quebec","50.8881 N 63.22749 W","cDNA"
"RO247R","Reservoir metagenome","Reservoir","2016-08-05","Canada:Quebec","50.85912 N 63.1628 W","cDNA"
"RO248R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.00187 N 63.34712 W","cDNA"
"RO249R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.02136 N 63.30664 W","cDNA"
"RO250R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.05091 N 63.19594 W","cDNA"
"RO251R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.01549 N 63.25632 W","cDNA"
"RO252R","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.94286 N 63.34372 W","cDNA"
"RO254R","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.86029 N 63.18496 W","cDNA"
"RO255R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.8422 N 63.18331 W","cDNA"
"RO256R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.7984 N 63.20644 W","cDNA"
"RO257R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.75955 N 63.2112 W","cDNA"
"S34R","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"S35R","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"S36R","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.2095 N 63.92261 W","cDNA"
"S37R","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.20212 N 63.92330 W","cDNA"
"S39R","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.18631 N 63.93174 W","cDNA"
"S40R","Soil metagenome","Soil","2016-08-09","Canada:Quebec","51.303572 N 63.86920 W","cDNA"
"S42R","Soil metagenome","Soil","2016-08-10","Canada:Quebec","51.30536 N 63.86490 W","cDNA"
"SW33R","Soilwater metagenome","Soilwater","2016-08-04","Canada:Quebec","51.36618 N 63.87583 W","cDNA"
"SW35R","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"SW36R","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.2095 N 63.92092 W","cDNA"
"SW40R","Soilwater metagenome","Soilwater","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","cDNA"
"SW42R","Soilwater metagenome","Soilwater","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","cDNA"
"SW43R","Soilwater metagenome","Soilwater","2016-08-11","Canada:Quebec","51.30408 N 63.85194 W","cDNA"
"SWR34R","Soilwater metagenome","Soilwater","2016-08-05","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"L330CM2D","Sediment metagenome","Sediment","2016-06-13","Canada:Quebec","51.18157 N 63.92587 W","DNA"
"L330CM3D","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18157 N 63.92587 W","DNA"
"L331SD","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18164 N 63.92405 W","DNA"
"L332SD","Sediment metagenome","Sediment","2016-08-11","Canada:Quebec","51.18164 N 63.89855 W","DNA"
"S34D","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","DNA"
"S35D","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","DNA"
"S36D","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.2095 N 63.92261 W","DNA"
"S37D","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.20212 N 63.92330 W","DNA"
"S39D","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.18631 N 63.93174 W","DNA"
"S40D","Soil metagenome","Soil","2016-08-09","Canada:Quebec","51.303572 N 63.86920 W","DNA"
"S42D","Soil metagenome","Soil","2016-08-10","Canada:Quebec","51.30536 N 63.86490 W","DNA"
